x,y,s,xy,pxy,yx,pyx
15,60,1,1,1.0,0,0.0
16,26,2,1,0.5,1,0.5
26,60,5,2,0.4,3,0.6
16,60,1,1,1.0,0,0.0
24,47,8,2,0.25,6,0.75
27,80,1,0,0.0,1,1.0
29,40,5,3,0.6,2,0.4
29,49,10,10,1.0,0,0.0
4,28,5,2,0.4,3,0.6
20,28,20,7,0.35,13,0.65
9,44,10,2,0.2,8,0.8
28,44,5,1,0.2,4,0.8
19,28,8,5,0.625,3,0.375
21,65,1,1,1.0,0,0.0
7,65,1,1,1.0,0,0.0
19,47,1,0,0.0,1,1.0
18,19,5,2,0.4,3,0.6
29,34,12,8,0.6666666666666666,4,0.3333333333333333
14,10009,1,1,1.0,0,0.0
14,62,3,2,0.6666666666666666,1,0.3333333333333333
28,62,1,0,0.0,1,1.0
14,66,2,1,0.5,1,0.5
28,66,1,0,0.0,1,1.0
19,22,6,3,0.5,3,0.5
14,64,9,6,0.6666666666666666,3,0.3333333333333333
10,64,2,1,0.5,1,0.5
10,60,3,2,0.6666666666666666,1,0.3333333333333333
34,64,1,1,1.0,0,0.0
22,92,3,2,0.6666666666666666,1,0.3333333333333333
15,29,7,3,0.42857142857142855,4,0.5714285714285714
16,29,2,0,0.0,2,1.0
22,47,2,1,0.5,1,0.5
10,22,3,0,0.0,3,1.0
35,79,9,7,0.7777777777777778,2,0.2222222222222222
5,28,2,0,0.0,2,1.0
35,47,2,2,1.0,0,0.0
14,35,9,6,0.6666666666666666,3,0.3333333333333333
9,79,1,1,1.0,0,0.0
3,28,9,4,0.4444444444444444,5,0.5555555555555556
21,28,8,1,0.125,7,0.875
18,21,6,2,0.3333333333333333,4,0.6666666666666666
25,61,2,0,0.0,2,1.0
25,65,3,2,0.6666666666666666,1,0.3333333333333333
29,35,1,1,1.0,0,0.0
4,24,2,2,1.0,0,0.0
4,9,3,2,0.6666666666666666,1,0.3333333333333333
34,61,1,0,0.0,1,1.0
65,80,2,1,0.5,1,0.5
39,10008,2,2,1.0,0,0.0
21,24,4,1,0.25,3,0.75
21,25,10,6,0.6,4,0.4
9,21,5,1,0.2,4,0.8
29,32,2,2,1.0,0,0.0
25,93,1,1,1.0,0,0.0
7,93,4,3,0.75,1,0.25
40,93,1,0,0.0,1,1.0
9,93,1,0,0.0,1,1.0
9,11,2,1,0.5,1,0.5
11,4300,1,1,1.0,0,0.0
9,4300,1,1,1.0,0,0.0
7,4300,2,1,0.5,1,0.5
21,47,3,0,0.0,3,1.0
21,34,7,6,0.8571428571428571,1,0.14285714285714285
21,26,6,6,1.0,0,0.0
22,29,10,7,0.7,3,0.3
28,79,6,5,0.8333333333333334,1,0.16666666666666666
19,79,1,1,1.0,0,0.0
28,76,2,2,1.0,0,0.0
7,76,1,1,1.0,0,0.0
24,76,1,1,1.0,0,0.0
25,76,1,0,0.0,1,1.0
21,29,4,2,0.5,2,0.5
24,32,8,3,0.375,5,0.625
12,29,1,0,0.0,1,1.0
3,34,8,3,0.375,5,0.625
14,4300,1,0,0.0,1,1.0
22,26,4,2,0.5,2,0.5
18,44,2,0,0.0,2,1.0
49,10006,1,1,1.0,0,0.0
26,10006,1,1,1.0,0,0.0
7,10006,2,2,1.0,0,0.0
24,97,10,8,0.8,2,0.2
20,22,6,4,0.6666666666666666,2,0.3333333333333333
20,21,2,1,0.5,1,0.5
35,93,2,0,0.0,2,1.0
14,32,8,2,0.25,6,0.75
7,62,1,1,1.0,0,0.0
49,62,2,1,0.5,1,0.5
7,66,1,1,1.0,0,0.0
49,66,2,0,0.0,2,1.0
19,33,1,0,0.0,1,1.0
14,33,1,0,0.0,1,1.0
28,93,1,0,0.0,1,1.0
3,40,3,3,1.0,0,0.0
21,35,1,0,0.0,1,1.0
22,35,2,2,1.0,0,0.0
4,47,2,0,0.0,2,1.0
4,44,1,0,0.0,1,1.0
35,40,2,1,0.5,1,0.5
2,7,1,0,0.0,1,1.0
28,300,4,1,0.25,3,0.75
15,25,6,2,0.3333333333333333,4,0.6666666666666666
13,25,2,1,0.5,1,0.5
13,15,2,0,0.0,2,1.0
35,97,2,1,0.5,1,0.5
9,80,12,9,0.75,3,0.25
3,29,4,2,0.5,2,0.5
3,10,1,1,1.0,0,0.0
22,49,5,5,1.0,0,0.0
32,60,10,5,0.5,5,0.5
29,44,2,0,0.0,2,1.0
33,53,1,1,1.0,0,0.0
19,97,3,3,1.0,0,0.0
35,49,2,1,0.5,1,0.5
32,49,3,2,0.6666666666666666,1,0.3333333333333333
25,97,5,4,0.8,1,0.2
29,97,3,2,0.6666666666666666,1,0.3333333333333333
29,10001,2,2,1.0,0,0.0
12,24,9,1,0.1111111111111111,8,0.8888888888888888
3,19,1,1,1.0,0,0.0
20,40,2,0,0.0,2,1.0
23,28,1,0,0.0,1,1.0
4,23,1,1,1.0,0,0.0
13,14,8,7,0.875,1,0.125
4,34,4,3,0.75,1,0.25
32,43,1,0,0.0,1,1.0
12,80,2,2,1.0,0,0.0
3,25,1,1,1.0,0,0.0
7,10001,4,2,0.5,2,0.5
92,10001,1,0,0.0,1,1.0
28,10001,1,0,0.0,1,1.0
14,10001,2,0,0.0,2,1.0
15,20,4,3,0.75,1,0.25
47,80,1,0,0.0,1,1.0
15,18,4,3,0.75,1,0.25
15,35,1,1,1.0,0,0.0
15,47,1,1,1.0,0,0.0
18,35,4,4,1.0,0,0.0
16,18,5,1,0.2,4,0.8
16,35,1,0,0.0,1,1.0
16,47,1,1,1.0,0,0.0
29,80,6,6,1.0,0,0.0
16,25,5,1,0.2,4,0.8
25,95,6,4,0.6666666666666666,2,0.3333333333333333
28,95,3,2,0.6666666666666666,1,0.3333333333333333
16,24,6,1,0.16666666666666666,5,0.8333333333333334
24,95,2,2,1.0,0,0.0
15,24,5,3,0.6,2,0.4
16,95,1,1,1.0,0,0.0
15,95,1,0,0.0,1,1.0
19,25,5,1,0.2,4,0.8
14,93,2,2,1.0,0,0.0
25,44,5,0,0.0,5,1.0
13,16,1,0,0.0,1,1.0
25,10004,1,1,1.0,0,0.0
14,10004,2,2,1.0,0,0.0
26,95,1,0,0.0,1,1.0
76,80,1,0,0.0,1,1.0
35,76,4,4,1.0,0,0.0
2,44,2,1,0.5,1,0.5
15,34,5,1,0.2,4,0.8
16,34,4,0,0.0,4,1.0
18,10004,1,1,1.0,0,0.0
10,10004,1,1,1.0,0,0.0
12,21,1,1,1.0,0,0.0
11,21,2,0,0.0,2,1.0
22,80,3,2,0.6666666666666666,1,0.3333333333333333
61,79,1,1,1.0,0,0.0
65,79,1,1,1.0,0,0.0
10,13,1,0,0.0,1,1.0
3,13,1,1,1.0,0,0.0
20,97,4,4,1.0,0,0.0
32,40,8,3,0.375,5,0.625
10,11,2,0,0.0,2,1.0
5,14,1,1,1.0,0,0.0
11,97,2,1,0.5,1,0.5
49,10005,1,0,0.0,1,1.0
28,10005,1,0,0.0,1,1.0
19,34,2,1,0.5,1,0.5
15,49,2,2,1.0,0,0.0
16,49,3,3,1.0,0,0.0
26,97,7,4,0.5714285714285714,3,0.42857142857142855
49,97,4,3,0.75,1,0.25
13,49,1,1,1.0,0,0.0
15,22,2,1,0.5,1,0.5
16,22,1,0,0.0,1,1.0
21,44,1,1,1.0,0,0.0
22,40,10,8,0.8,2,0.2
40,47,3,0,0.0,3,1.0
11,18,8,2,0.25,6,0.75
12,18,3,0,0.0,3,1.0
32,93,2,2,1.0,0,0.0
22,32,5,4,0.8,1,0.2
33,61,1,0,0.0,1,1.0
33,65,1,1,1.0,0,0.0
44,300,1,1,1.0,0,0.0
32,82,1,1,1.0,0,0.0
34,44,4,0,0.0,4,1.0
35,43,2,1,0.5,1,0.5
24,60,2,2,1.0,0,0.0
24,64,1,1,1.0,0,0.0
20,44,2,1,0.5,1,0.5
4,40,2,1,0.5,1,0.5
25,52,1,0,0.0,1,1.0
61,80,1,0,0.0,1,1.0
10,44,1,1,1.0,0,0.0
18,64,3,3,1.0,0,0.0
18,60,4,2,0.5,2,0.5
18,79,2,1,0.5,1,0.5
35,60,2,1,0.5,1,0.5
20,35,2,1,0.5,1,0.5
10,40,2,0,0.0,2,1.0
7,30,2,2,1.0,0,0.0
24,30,1,1,1.0,0,0.0
29,30,1,1,1.0,0,0.0
14,30,2,1,0.5,1,0.5
7,85,3,3,1.0,0,0.0
9,85,1,1,1.0,0,0.0
61,64,8,8,1.0,0,0.0
8,47,3,1,0.3333333333333333,2,0.6666666666666666
8,14,1,0,0.0,1,1.0
26,10001,1,1,1.0,0,0.0
25,10001,2,1,0.5,1,0.5
49,10001,1,0,0.0,1,1.0
18,10001,1,1,1.0,0,0.0
11,10001,1,1,1.0,0,0.0
20,23,1,1,1.0,0,0.0
9,20,4,0,0.0,4,1.0
22,23,1,1,1.0,0,0.0
9,23,2,0,0.0,2,1.0
40,79,2,2,1.0,0,0.0
11,80,2,0,0.0,2,1.0
28,42,1,0,0.0,1,1.0
9,12,2,1,0.5,1,0.5
12,16,1,1,1.0,0,0.0
9,16,1,1,1.0,0,0.0
35,52,2,2,1.0,0,0.0
52,80,1,1,1.0,0,0.0
20,34,2,0,0.0,2,1.0
44,49,7,5,0.7142857142857143,2,0.2857142857142857
25,47,8,2,0.25,6,0.75
23,47,1,0,0.0,1,1.0
23,25,1,0,0.0,1,1.0
10,23,1,0,0.0,1,1.0
47,10007,1,1,1.0,0,0.0
97,10007,1,0,0.0,1,1.0
19,80,1,1,1.0,0,0.0
21,97,2,2,1.0,0,0.0
29,93,1,0,0.0,1,1.0
8,28,1,1,1.0,0,0.0
53,80,1,1,1.0,0,0.0
23,34,2,1,0.5,1,0.5
23,29,1,0,0.0,1,1.0
10,21,1,0,0.0,1,1.0
9,19,1,0,0.0,1,1.0
22,97,2,2,1.0,0,0.0
7,8,1,0,0.0,1,1.0
20,300,1,1,1.0,0,0.0
32,97,1,1,1.0,0,0.0
35,96,1,1,1.0,0,0.0
16,20,2,1,0.5,1,0.5
11,20,1,0,0.0,1,1.0
12,20,1,0,0.0,1,1.0
27,28,1,1,1.0,0,0.0
24,81,2,2,1.0,0,0.0
14,81,2,2,1.0,0,0.0
14,300,5,4,0.8,1,0.2
35,64,4,3,0.75,1,0.25
13,47,1,0,0.0,1,1.0
10,19,2,0,0.0,2,1.0
11,40,7,3,0.42857142857142855,4,0.5714285714285714
20,10010,1,0,0.0,1,1.0
7,10010,1,0,0.0,1,1.0
14,10010,1,0,0.0,1,1.0
80,10010,1,0,0.0,1,1.0
32,51,3,2,0.6666666666666666,1,0.3333333333333333
24,44,2,1,0.5,1,0.5
33,79,1,1,1.0,0,0.0
33,80,1,1,1.0,0,0.0
79,80,2,2,1.0,0,0.0
10,32,2,0,0.0,2,1.0
10,80,1,0,0.0,1,1.0
12,26,1,0,0.0,1,1.0
47,64,1,1,1.0,0,0.0
28,64,2,2,1.0,0,0.0
21,40,4,3,0.75,1,0.25
19,49,1,0,0.0,1,1.0
3,15,2,0,0.0,2,1.0
3,16,2,1,0.5,1,0.5
80,97,1,1,1.0,0,0.0
32,44,2,0,0.0,2,1.0
27,47,1,0,0.0,1,1.0
7,27,1,0,0.0,1,1.0
34,95,1,1,1.0,0,0.0
23,64,1,1,1.0,0,0.0
23,60,2,2,1.0,0,0.0
9,64,1,1,1.0,0,0.0
9,60,1,1,1.0,0,0.0
18,97,2,0,0.0,2,1.0
18,62,1,1,1.0,0,0.0
18,66,1,1,1.0,0,0.0
35,10002,1,1,1.0,0,0.0
35,10003,2,2,1.0,0,0.0
32,10002,1,1,1.0,0,0.0
32,10003,1,1,1.0,0,0.0
10002,10003,1,1,1.0,0,0.0
26,61,3,0,0.0,3,1.0
26,65,2,1,0.5,1,0.5
9,95,1,0,0.0,1,1.0
43,80,2,0,0.0,2,1.0
3,44,1,0,0.0,1,1.0
12,40,2,2,1.0,0,0.0
13,34,1,0,0.0,1,1.0
40,97,1,1,1.0,0,0.0
35,44,1,1,1.0,0,0.0
2,9,1,1,1.0,0,0.0
9,81,1,0,0.0,1,1.0
26,79,2,2,1.0,0,0.0
32,300,1,0,0.0,1,1.0
11,49,1,1,1.0,0,0.0
15,21,1,0,0.0,1,1.0
33,40,1,1,1.0,0,0.0
33,49,1,1,1.0,0,0.0
7,33,1,0,0.0,1,1.0
9,13,1,0,0.0,1,1.0
32,39,2,2,1.0,0,0.0
28,39,2,2,1.0,0,0.0
7,10003,1,0,0.0,1,1.0
4,18,1,1,1.0,0,0.0
4,26,1,1,1.0,0,0.0
4,49,1,1,1.0,0,0.0
29,60,1,1,1.0,0,0.0
21,80,2,2,1.0,0,0.0
40,92,1,1,1.0,0,0.0
4,25,4,1,0.25,3,0.75
30,40,1,0,0.0,1,1.0
28,30,1,0,0.0,1,1.0
4,29,1,1,1.0,0,0.0
11,19,1,0,0.0,1,1.0
3,11,1,1,1.0,0,0.0
21,32,1,0,0.0,1,1.0
18,23,1,0,0.0,1,1.0
11,23,1,0,0.0,1,1.0
8,25,1,0,0.0,1,1.0
16,44,1,0,0.0,1,1.0
26,64,1,1,1.0,0,0.0
80,95,1,0,0.0,1,1.0
21,49,1,1,1.0,0,0.0
49,300,1,1,1.0,0,0.0
8,24,1,0,0.0,1,1.0
2,28,2,1,0.5,1,0.5
18,61,2,0,0.0,2,1.0
18,65,1,0,0.0,1,1.0
7,43,1,1,1.0,0,0.0
14,43,1,1,1.0,0,0.0
5,7,1,0,0.0,1,1.0
5,9,1,0,0.0,1,1.0
5,44,1,1,1.0,0,0.0
29,85,1,1,1.0,0,0.0
25,85,1,1,1.0,0,0.0
85,92,1,0,0.0,1,1.0
14,85,1,1,1.0,0,0.0
