
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI	Apte-dict-form
BvAxiH	wataz	ucCrAye	pa.pa	-	wat1	wat
BvAxiH	Kataz	kAfkRAyAm	pa.pa	-	Kat1	Kat
BvAxiH	pitaz	Sabxe	pa.pa	-	pit1	pit
BvAxiH	pitaz	safGAwe	pa.pa	-	pit1	pit
BvAxiH	hataz	xIpwO	pa.pa	-	hat1	hat
BvAxiH	Rataz	avayave	pa.pa	-	Rat1	sat
BvAxiH	lutaz	prawiGAwe	A.pa	-	lut1	lut
BvAxiH	citaz	paraprERye	pa.pa	-	cit1	cit
BvAxiH	vitaz	AkroSe	pa.pa	-	vit1	vit
BvAxiH	vitaz	Sabxe	pa.pa	-	vit1	vit
BvAxiH	bitaz	AkroSe	pa.pa	-	bit1	bit
BvAxiH	itaz	gawO	pa.pa	-	it1	it
BvAxiH	katIz	gawO	pa.pa	-	kat2	kat
BvAxiH	madiz	veRtane	A.pa	-	mad2	maNd
BvAxiH	madiz	viBAjane	A.pa	-	mad2	maNd
BvAxiH	kudiz	xAhe	A.pa	kuNd	kud2	kuNd
BvAxiH	mutaz	pramarxane	pa.pa	-	mut1	mut
BvAxiH	cudiz	alpIBAve	pa.pa	-	cud1	cuNd
BvAxiH	mudiz	majjane	A.pa	-	mud1	muNd
BvAxiH	mudiz	mArjane	A.pa	-	mud1	muNd
BvAxiH	pudiz	KaNdane	pa.pa	-	pud1	puNd
BvAxiH	rutiz	sweye	pa.pa	-	rut2	ruNt
BvAxiH	lutiz	sweye	pa.pa	-	lut3	luNt
BvAxiH	sPutizr	viSaraNe	pa.pa	sPut	sPut2	sPut
BvAxiH	paTaz	vyakwAyAM_vAci	pa.pa	paT	paT1	paT
BvAxiH	vaTaz	sWOlye	pa.pa	-	vaT1	vaT
BvAxiH	maTaz	maxe	pa.pa	-	maT1	maT
BvAxiH	maTaz	nivAse	pa.pa	-	maT1	maT
BvAxiH	kaTaz	kqcCrajIvane	pa.pa	-	kaT1	kaT
BvAxiH	kaTaz	maxe	pa.pa	-	kaT1	kaT
BvAxiH	kaTaz	nivAse	pa.pa	-	kaT1	kaT
BvAxiH	raTaz	pariBARaNe	pa.pa	-	raT1	raT
BvAxiH	haTaz	pluwO	pa.pa	haT	haT1	haT
BvAxiH	haTaz	SafkubanXane	pa.pa	haT	haT1	haT
BvAxiH	haTaz	SaTawve	pa.pa	haT	haT1	haT
BvAxiH	ruTaz	prawiGAwe	A.pa	-	ruT1	ruT
BvAxiH	ruTaz	upaGAwe	pa.pa	-	ruT1	ruT
BvAxiH	luTaz	Alasye	pa.pa	-	luT1	luT
BvAxiH	luTaz	prawiGAwe	A.pa	-	luT1	luT
BvAxiH	luTaz	prawiGAwe	pa.pa	-	luT1	luT
BvAxiH	luTaz	upaGAwe	pa.pa	-	luT1	luT
BvAxiH	uTaz	upaGAwe	pa.pa	-	uT1	uT
BvAxiH	piTaz	hiMsAyAm	pa.pa	-	piT1	piT
BvAxiH	piTaz	safkleSane	pa.pa	-	piT1	piT
BvAxiH	SaTaz	hiMsAyAm	pa.pa	-	SaT1	SaT
BvAxiH	SaTaz	kEwave	pa.pa	-	SaT1	SaT
BvAxiH	SaTaz	safkleSane	pa.pa	-	SaT1	SaT
BvAxiH	SuTaz	gawiprawiGAwe	pa.pa	-	SuT1	SuT
BvAxiH	kuTiz	gawiprawiGAwe	pa.pa	kuNT	kuT1	kuNT
BvAxiH	kuTiz	vEkalye	pa.pa	kuNT	kuT1	kuNT
BvAxiH	SuTiz	gawiprawiGAwe	pa.pa	-	SuT2	SuNT
BvAxiH	SuTiz	SoRaNe	pa.pa	-	SuT2	SuNT
BvAxiH	ruTiz	Alasye	pa.pa	-	ruT2	ruNT
BvAxiH	ruTiz	gawiprawiGAwe	pa.pa	-	ruT2	ruNT
BvAxiH	ruTiz	gawO	pa.pa	-	ruT2	ruNT
BvAxiH	ruTiz	sweye	pa.pa	-	ruT2	ruNT
BvAxiH	luTiz	Alasye	pa.pa	-	luT2	luNT
BvAxiH	luTiz	gawO	pa.pa	-	luT2	luNT
BvAxiH	luTiz	sweye	pa.pa	-	luT2	luNT
BvAxiH	cuxdaz	BAvakaraNe	pa.pa	-	cuxd1	cudd
BvAxiH	cuxdaz	hAvavaraNe	pa.pa	-	cuxd1	cudd
BvAxiH	axdaz	aBiyoge	pa.pa	-	axd1	add
BvAxiH	kaxdaz	kArkaSye	pa.pa	-	kaxd1	kadd
BvAxiH	krIdqz	vihAre	pa.pa	krId	krId1	krId
BvAxiH	wudqz	wodane	pa.pa	-	wud1	wud
BvAxiH	wUdqz	wodane	pa.pa	-	wUd1	wUd
BvAxiH	hudqz	gawO	pa.pa	-	hud2	hud
BvAxiH	hUdqz	gawO	pa.pa	-	hUd1	hUd
BvAxiH	hOdqz	gawO	pa.pa	-	hOd1	hOd
BvAxiH	rOdqz	anAxare	pa.pa	-	rOd1	rOd
BvAxiH	rodqz	unmAxe	pa.pa	-	rod1	rod
BvAxiH	lodqz	unmAxe	pa.pa	-	lod1	lod
BvAxiH	adaz	uxyamane	pa.pa	-	ad1	ad
BvAxiH	ladaz	vilAse	pa.pa	-	lad1	lad
BvAxiH	kadaz	maxe	pa.pa	-	kad1	kad
BvAxiH	kadiz	maxe	A.pa	-	kad2	kaNd
BvAxiH	kadiz	maxe	pa.pa	-	kad2	kaNd
BvAxiH	wipqz	kRaraNe	A.pa	-	wip1	wip
BvAxiH	wepqz	kampane	A.pa	-	wep1	wep
BvAxiH	wepqz	kRaraNe	A.pa	-	wep1	wep
BvAxiH	glepqz	kampane	A.pa	-	glep1	glep
BvAxiH	glepqz	xEnye	A.pa	-	glep1	glep
BvAxiH	tuvepqz	kampane	A.pa	-	vep1	vep
BvAxiH	kepqz	kampane	A.pa	-	kep1	kep
BvAxiH	gepqz	kampane	A.pa	-	gep1	gep
BvAxiH	gepqz	xEnye	A.pa	-	gep1	gep
BvAxiH	mepqz	gawO	A.pa	-	mep1	mep
BvAxiH	repqz	gawO	A.pa	-	rep1	rep
BvAxiH	repqz	Sabxe	A.pa	-	rep1	rep
BvAxiH	lepqz	gawO	A.pa	-	lep1	lep
BvAxiH	wrapUzR	lajjAyAm	A.pa	wrap	wrap1	wrap
BvAxiH	kapiz	calane	A.pa	kamp	kap1	kamp
BvAxiH	rabiz	Sabxe	A.pa	-	rab1	ramb
BvAxiH	labiz	avasraMsane	A.pa	lamb	lab1	lamb
BvAxiH	labiz	Sabxe	A.pa	lamb	lab1	lamb
BvAxiH	abiz	Sabxe	A.pa	-	ab1	amb
BvAxiH	kabqz	varNe	A.pa	-	kab1	kab
BvAxiH	klIbqz	aXArRtye	A.pa	-	klIb1	klIb
BvAxiH	kRIbqz	maxe	A.pa	-	kRIb1	kRIb
BvAxiH	SIBqz	kawWane	A.pa	-	SIB1	SIB
BvAxiH	cIBqz	kawWane	A.pa	-	cIB1	cIB
BvAxiH	reBqz	Sabxe	A.pa	-	reB1	reB
BvAxiH	RwaBiz	prawibanXe	A.pa	swamB	RwaB1	swamB
BvAxiH	skaBiz	prawibanXe	A.pa	skamB	skaB1	skamB
BvAxiH	jaBIz	gAwravinAme	A.pa	jaB#1	jaB1	jaB
BvAxiH	jqBiz	gAwravinAme	A.pa	jqmB	jqB1	jqmB
BvAxiH	SalBaz	kawWane	A.pa	-	SalB1	SalB
BvAxiH	valBaz	Bojane	A.pa	-	valB1	valB
BvAxiH	galBaz	XArRtye	A.pa	galB	galB1	galB
BvAxiH	SranBuz	pramAxe	A.pa	SramB	SranB1	SramB
BvAxiH	RwuBuz	swamBe	A.pa	swuB	RwuB1	swuB
BvAxiH	gupUz	rakRaNe	pa.pa	-	gup1	gup
BvAxiH	XUpaz	sanwApe	pa.pa	-	XUp1	XUp
BvAxiH	japaz	mAnase	pa.pa	jap	jap1	jap
BvAxiH	japaz	vyakwAyAM_vAci	pa.pa	jap	jap1	jap
BvAxiH	jalpaz	vyakwAyAM_vAci	pa.pa	jalp	jalp1	jalp
BvAxiH	capaz	sAnwvane	pa.pa	-	cap1	cap
BvAxiH	Rapaz	samavAye	pa.pa	sap#1	Rap1	sap
BvAxiH	rapaz	vyakwAyAM_vAci	pa.pa	-	rap1	rap
BvAxiH	lapaz	vyakwAyAM_vAci	pa.pa	lap	lap1	lap
BvAxiH	cupaz	manxAyAM_gawO	pa.pa	-	cup1	cup
BvAxiH	wupaz	hiMsAyAm	pa.pa	wup	wup1	wup
BvAxiH	wrupaz	hiMsAyAm	pa.pa	-	wrup1	wrup
BvAxiH	wuPaz	hiMsAyAm	pa.pa	-	wuP1	wuP
BvAxiH	wruPaz	hiMsAyAm	pa.pa	-	wruP1	wruP
BvAxiH	wrunPaz	hiMsAyAm	pa.pa	-	wrunP1	wrunP
BvAxiH	parpaz	gawO	pa.pa	-	parp1	parp
BvAxiH	raPaz	gawO	pa.pa	-	raP1	raP
BvAxiH	arbaz	gawO	pa.pa	-	arb1	arb
BvAxiH	parbaz	gawO	pa.pa	-	parb1	parb
BvAxiH	larbaz	gawO	pa.pa	-	larb1	larb
BvAxiH	barbaz	gawO	pa.pa	-	barb1	barb
BvAxiH	marbaz	gawO	pa.pa	-	marb1	marb
BvAxiH	karbaz	gawO	pa.pa	-	karb1	karb
BvAxiH	Karbaz	gawO	pa.pa	-	Karb1	Karb
BvAxiH	garbaz	gawO	pa.pa	-	garb1	garb
BvAxiH	Sarbaz	gawO	pa.pa	-	Sarb1	Sarb
BvAxiH	Rarbaz	gawO	pa.pa	-	Rarb1	sarb
BvAxiH	carbaz	gawO	pa.pa	-	carb1	carb
BvAxiH	kubiz	AcCAxane	pa.pa	-	kub1	kumb
BvAxiH	kubiz	arxane	pa.pa	-	kub1	kumb
BvAxiH	lubiz	arxane	pa.pa	-	lub1	lumb
BvAxiH	wubiz	arxane	pa.pa	-	wub1	wumb
BvAxiH	cubiz	vakwrasaMyoge	pa.pa	cumb	cub1	cub
BvAxiH	RqBuz	hiMsAyAm	pa.pa	-	RqB1	sqB
BvAxiH	sqnBuz	hiMsAyAm	pa.pa	-	sqnB1	sqmB
BvAxiH	SuBaz	BARaNe	pa.pa	SuB#1	SuB1	SuB
BvAxiH	SuBaz	hiMsAyAm	pa.pa	SuB#1	SuB1	SuB
BvAxiH	SunBaz	BARaNe	pa.pa	SumB	SunB1	SumB
BvAxiH	SunBaz	hiMsAyAm	pa.pa	SumB	SunB1	SumB
BvAxiH	GiNiz	grahaNe	A.pa	-	GiN1	GiNN
BvAxiH	GuNiz	grahaNe	A.pa	-	GuN1	GuNN
BvAxiH	GqNiz	grahaNe	A.pa	-	GqN1	GqNN
BvAxiH	GuNaz	BramaNe	A.pa	-	GuN2	GuN
BvAxiH	GUrNaz	BramaNe	A.pa	GUrN	GUrN1	GUrN
BvAxiH	paNaz	swuwO	A.pa	paN	paN1	paN
BvAxiH	paNaz	vyavahAre	A.pa	paN	paN1	paN
BvAxiH	panaz	swuwO	A.pa	-	pan1	pan
BvAxiH	panaz	vyavahAre	A.pa	-	pan1	pan
BvAxiH	BAmaz	kroXe	A.pa	-	BAm1	BAm
BvAxiH	kRamUzR	sahane	A.pa	kRam	kRam1	kRam
BvAxiH	kamuz	kAnwO	A.pa	kam	kam1	kam
BvAxiH	aNaz	Sabxe	pa.pa	-	aN1	aN
BvAxiH	raNaz	Sabxe	pa.pa	raN	raN1	raN
BvAxiH	vaNaz	Sabxe	pa.pa	-	vaN1	vaN
BvAxiH	BaNaz	Sabxe	pa.pa	BaN	BaN1	BaN
BvAxiH	maNaz	Sabxe	pa.pa	-	maN1	maN
BvAxiH	kaNaz	Sabxe	pa.pa	-	kaN1	kaN
BvAxiH	kvaNaz	Sabxe	pa.pa	kvaN	kvaN1	kvaN
BvAxiH	vraNaz	Sabxe	pa.pa	-	vraN1	vraN
BvAxiH	BraNaz	Sabxe	pa.pa	-	BraN1	BraN
BvAxiH	XvaNaz	Sabxe	pa.pa	-	XvaN1	XvaN
BvAxiH	oNqz	apanayane	pa.pa	-	oN1	oN
BvAxiH	SoNqz	gawO	pa.pa	-	SoN1	SoN
BvAxiH	SoNqz	varNe	pa.pa	-	SoN1	SoN
BvAxiH	SroNqz	gawiprawiGAwe	pa.pa	-	SroN1	SroN
BvAxiH	SroNqz	safGAwe	pa.pa	-	SroN1	SroN
BvAxiH	SloNqz	gawiprawiGAwe	pa.pa	-	SloN1	SloN
BvAxiH	SloNqz	safGAwe	pa.pa	-	SloN1	SloN
BvAxiH	pENqz	gawO	pa.pa	-	pEN1	pEN
BvAxiH	pENqz	preraNe	pa.pa	-	pEN1	pEN
BvAxiH	pENqz	SleRaNe	pa.pa	-	pEN1	pEN
BvAxiH	XaNaz	Sabxe	pa.pa	-	XaN1	XaN
BvAxiH	kanIz	gawO	pa.pa	kan	kan1	kan
BvAxiH	kanIz	kAnwO	pa.pa	kan	kan1	kan
BvAxiH	kanIz	xIpwO	pa.pa	kan	kan1	kan
BvAxiH	swanaz	Sabxe	pa.pa	swan,tan#2(4)	swan1	swan
BvAxiH	vanaz	BakwO	pa.pa	van	van1	van
BvAxiH	vanaz	Sabxe	pa.pa	van	van1	van
BvAxiH	vanaz	samBakwO	pa.pa	van	van1	van
BvAxiH	RaNaz	BakwO	pa.pa	-	RaN1	saN
BvAxiH	amaz	gawO	pa.pa	am	am1	am
BvAxiH	xramaz	gawO	pa.pa	-	xram1	xram
BvAxiH	hammaz	gawO	pa.pa	-	hamm1	hamm
BvAxiH	mImqz	gawO	pa.pa	-	mIm1	mIm
BvAxiH	mImqz	Sabxe	pa.pa	-	mIm1	mIm
BvAxiH	camuz	axane	pa.pa	cam	cam1	cam
BvAxiH	Camuz	axane	pa.pa	-	Cam1	Cam
BvAxiH	jamuz	axane	pa.pa	jam	jam1	jam
BvAxiH	Jamuz	axane	pa.pa	-	Jam1	Jam
BvAxiH	kramuz	pAxavikRepe	pa.pa	kram	kram1	kram
BvAxiH	ayaz	gawO	A.pa	-	ay1	ay
BvAxiH	ayaz	gawO	pa.pa	-	ay1	ay
BvAxiH	vayaz	gawO	A.pa	-	vay1	vay
BvAxiH	payaz	gawO	A.pa	-	pay1	pay
BvAxiH	mayaz	gawO	A.pa	-	may1	may
BvAxiH	cayaz	gawO	A.pa	-	cay1	cay
BvAxiH	wayaz	gawO	A.pa	-	way1	way
BvAxiH	wayaz	rakRaNe	A.pa	-	way1	way
BvAxiH	Nayaz	gawO	A.pa	-	Nay1	nay
BvAxiH	Nayaz	rakRaNe	A.pa	-	Nay1	nay
BvAxiH	xayaz	AxAne	A.pa	-	xay1	xay
BvAxiH	xayaz	gawO	A.pa	xay	xay1	xay
BvAxiH	xayaz	hiMsAyAm	A.pa	xay	xay1	xay
BvAxiH	xayaz	rakRaNe	A.pa	xay	xay1	xay
BvAxiH	xayaz	xAne	A.pa	-	xay1	xay
BvAxiH	rayaz	gawO	A.pa	-	ray1	ray
BvAxiH	UyIz	wanwusanwAne	A.pa	-	Uy1	Uy
BvAxiH	pUyIz	viSaraNe	A.pa	pUy	pUy1	pUy
BvAxiH	pUyIz	xurganXe	A.pa	pUy	pUy1	pUy
BvAxiH	knUyIz	Sabxe	A.pa	-	knUy1	knUy
BvAxiH	knUyIz	unxe	A.pa	-	knUy1	knUy
BvAxiH	kRmAyIz	viXUnane	A.pa	-	kRmAy1	kRmAy
BvAxiH	sPAyIz	vqxXO	A.pa	sPA	sPAy1	sPAy
BvAxiH	ozpyAyIz	vqxXO	A.pa	pyA	pyAy1	pyAy
BvAxiH	wAyqz	pAlane	A.pa	-	wAy1	wAy
BvAxiH	wAyqz	sanwAne	A.pa	-	wAy1	wAy
BvAxiH	Salaz	calane	A.pa	-	Sal1	Sal
BvAxiH	Salaz	saMvaraNe	A.pa	-	Sal1	Sal
BvAxiH	Salaz	ASugamane	pa.pa	Sal	Sal2	Sal
BvAxiH	Salaz	gawO	pa.pa	Sal	Sal2	Sal
BvAxiH	valaz	saFcaraNe	A.pa	val	val1	val
BvAxiH	valaz	saMvaraNe	A.pa	val	val1	val
BvAxiH	vallaz	saFcaraNe	A.pa	-	vall1	vall
BvAxiH	vallaz	saMvaraNe	A.pa	-	vall1	vall
BvAxiH	malaz	XAraNe	A.pa	-	mal1	mal
BvAxiH	mallaz	XAraNe	A.pa	-	mall1	mall
BvAxiH	Balaz	hiMsAyAm	A.pa	-	Bal1	Bal
BvAxiH	Balaz	pariBARaNe	A.pa	-	Bal1	Bal
BvAxiH	Balaz	xAne	A.pa	-	Bal1	Bal
BvAxiH	Ballaz	hiMsAyAm	A.pa	-	Ball1	Ball
BvAxiH	Ballaz	pariBARaNe	A.pa	-	Ball1	Ball
BvAxiH	Ballaz	xAne	A.pa	-	Ball1	Ball
BvAxiH	kalaz	Sabxe	A.pa	-	kal1	kal
BvAxiH	kalaz	safKyAne	A.pa	-	kal1	kal
BvAxiH	kallaz	avyakwe_Sabxe	A.pa	-	kall1	kall
BvAxiH	wevqz	xevane	A.pa	-	wev1	wev
BvAxiH	xevqz	xevane	A.pa	xev	xev1	xev
BvAxiH	sevqz	sevane	A.pa	sev	sev1	sev
BvAxiH	gevqz	secane	A.pa	-	gev1	gev
BvAxiH	glevqz	secane	A.pa	-	glev1	glev
BvAxiH	glevqz	sevane	A.pa	-	glev1	glev
BvAxiH	pevqz	secane	A.pa	-	pev1	pev
BvAxiH	pevqz	sevane	A.pa	-	pev1	pev
BvAxiH	mevqz	secane	A.pa	-	mev1	mev
BvAxiH	mevqz	sevane	A.pa	-	mev1	mev
BvAxiH	mlevqz	secane	A.pa	-	mlev1	mlev
BvAxiH	mlevqz	sevane	A.pa	-	mlev1	mlev
BvAxiH	Sevqz	secane	A.pa	-	Sev1	Sev
BvAxiH	Sevqz	sevane	A.pa	-	Sev1	Sev
BvAxiH	Kevqz	sevane	A.pa	-	Kev1	Kev
BvAxiH	kevqz	sevane	A.pa	-	kev1	kev
BvAxiH	revqz	gawO	A.pa	-	rev1	rev
BvAxiH	revqz	pluwigawO	A.pa	-	rev1	rev
BvAxiH	mavyaz	banXane	pa.pa	-	mavy1	mavy
BvAxiH	sUrkRyaz	anAxare	pa.pa	-	sUrkRy1	sUrkRy
BvAxiH	sUrkRyaz	IrRyAyAm	pa.pa	-	sUrkRy1	sUrkRy
BvAxiH	IrkRyaz	IrRyAyAm	pa.pa	-	IrkRy1	IrkRy
BvAxiH	IrRyaz	IrRyAyAm	pa.pa	IrR	IrRy1	IrRy
BvAxiH	hayaz	gawO	pa.pa	-	hay1	hay
BvAxiH	hayaz	kAnwO	pa.pa	-	hay1	hay
BvAxiH	Sucyaz	aBiRave	pa.pa	-	Sucy1	Sucy
BvAxiH	haryaz	gawO	pa.pa	-	hary1	hary
BvAxiH	haryaz	kAnwO	pa.pa	-	hary1	hary
BvAxiH	alaz	BURAyAm	pa.pa	-	al1	al
BvAxiH	alaz	paryApwO	pa.pa	-	al1	al
BvAxiH	alaz	vAraNe	pa.pa	-	al1	al
BvAxiH	FiPalAz	viSaraNe	pa.pa	Pal	Pal1	Pal
BvAxiH	mIlaz	nimeRaNe	pa.pa	mIl	mIl1	mIl
BvAxiH	SmIlaz	nimeRaNe	pa.pa	-	SmIl1	SmIl
BvAxiH	smIlaz	nimeRaNe	pa.pa	-	smIl1	smIl
BvAxiH	kRmIlaz	nimeRaNe	pa.pa	-	kRmIl1	kRmIl
BvAxiH	pIlaz	prawiRtamBe	pa.pa	-	pIl1	pIl
BvAxiH	NIlaz	varNe	pa.pa	-	NIl1	nIl
BvAxiH	SIlaz	nimeRaNe	pa.pa	SIl	SIl1	SIl
BvAxiH	SIlaz	samAXO	pa.pa	-	SIl1	SIl
BvAxiH	kIlaz	banXane	pa.pa	kIl	kIl1	kIl
BvAxiH	kUlaz	AvaraNe	pa.pa	-	kUl1	kUl
BvAxiH	SUlaz	rujAyAm	pa.pa	-	SUl1	SUl
BvAxiH	SUlaz	safGAwe	pa.pa	-	SUl1	SUl
BvAxiH	wUlaz	niRkarRe	pa.pa	-	wUl1	wUl
BvAxiH	pUlaz	safGAwe	pa.pa	-	pUl1	pUl
BvAxiH	mUlaz	prawiRTAyAm	pa.pa	-	mUl1	mUl
BvAxiH	Palaz	niRpawwO	pa.pa	-	Pal2	Pal
BvAxiH	cullaz	BAvakaraNe	pa.pa	-	cull1	cull
BvAxiH	cullaz	hAvakaraNe	pa.pa	-	cull1	cull
BvAxiH	Pullaz	vikasane	pa.pa	Pull	Pull1	Pull
BvAxiH	cillaz	BAvakaraNe	pa.pa	-	cill1	cill
BvAxiH	cillaz	SEWilye	pa.pa	-	cill1	cill
BvAxiH	wilaz	gawO	pa.pa	-	wil1	wil
BvAxiH	willaz	gawO	pa.pa	-	will1	will
BvAxiH	velqz	calane	pa.pa	-	vel1	vel
BvAxiH	celqz	calane	pa.pa	-	cel1	cel
BvAxiH	kelqz	calane	pa.pa	-	kel1	kel
BvAxiH	Kelqz	calane	pa.pa	Kel	Kel1	Kel
BvAxiH	kRvelqz	calane	pa.pa	-	kRvel1	kRvel
BvAxiH	vellaz	calane	pa.pa	-	vell1	vell
BvAxiH	pelqz	gawO	pa.pa	-	pel1	pel
BvAxiH	Pelqz	gawO	pa.pa	-	Pel1	Pel
BvAxiH	Selqz	gawO	pa.pa	-	Sel1	Sel
BvAxiH	sKalaz	saFcalane	pa.pa	sKal	sKal1	sKal
BvAxiH	Kalaz	calane	pa.pa	-	Kal1	Kal
BvAxiH	Kalaz	saFcalane	pa.pa	-	Kal1	Kal
BvAxiH	Kalaz	saFcaye	pa.pa	-	Kal1	Kal
BvAxiH	galaz	axane	pa.pa	gal	gal1	gal
BvAxiH	galaz	garaNe	pa.pa	gal	gal1	gal
BvAxiH	Ralaz	gawO	pa.pa	-	Ral1	sal
BvAxiH	xalaz	viSaraNe	pa.pa	xal	xal1	xal
BvAxiH	Svalaz	ASugamane	pa.pa	-	Sval1	Sval
BvAxiH	Svallaz	ASugamane	pa.pa	-	Svall1	Svall
BvAxiH	Kolqz	gawiprawiGAwe	pa.pa	-	Kol1	Kol
BvAxiH	Korqz	gawiprawiGAwe	pa.pa	-	Kor1	Kor
BvAxiH	Xorqz	gawicAwurye	pa.pa	-	Xor1	Xor
BvAxiH	wsaraz	CaxmagawO	pa.pa	wsar	wsar1	wsar
BvAxiH	kmaraz	hUrcCane	pa.pa	-	kmar1	kmar
BvAxiH	aBraz	gawO	pa.pa	-	aBr1	aBr
BvAxiH	vaBraz	gawO	pa.pa	-	vaBr1	vaBr
BvAxiH	maBraz	gawO	pa.pa	-	maBr1	maBr
BvAxiH	caraz	gawO	pa.pa	car	car1	car
BvAxiH	RTivuz	nirasane	pa.pa	RTIv	RTiv1	RTiv
BvAxiH	ji	aBiBave	pa.pa	ji	ji1	ji
BvAxiH	ji	jaye	pa.pa	ji	ji1	ji
BvAxiH	jIvaz	prANaXAraNe	pa.pa	jIv	jIv1	jIv
BvAxiH	pIvaz	sWOlye	pa.pa	-	pIv1	pIv
BvAxiH	mIvaz	sWOlye	pa.pa	-	mIv1	mIv
BvAxiH	wIvaz	sWOlye	pa.pa	-	wIv1	wIv
BvAxiH	NIvaz	sWOlye	pa.pa	-	NIv1	nIv
BvAxiH	kRIvuz	nirasane	pa.pa	-	kRIv1	kRIv
BvAxiH	urvIz	hiMsAyAm	pa.pa	-	urv1	urv
BvAxiH	wurvIz	hiMsAyAm	pa.pa	-	wurv1	wurv
BvAxiH	WurvIz	hiMsAyAm	pa.pa	-	Wurv1	Wurv
BvAxiH	xurvIz	hiMsAyAm	pa.pa	-	xurv1	xurv
BvAxiH	XurvIz	hiMsAyAm	pa.pa	-	Xurv1	Xurv
BvAxiH	gurvIz	uxyamane	pa.pa	-	gurv1	gurv
BvAxiH	murvIz	banXane	pa.pa	-	murv1	murv
BvAxiH	purvaz	pUrwO	pa.pa	-	purv1	purv
BvAxiH	parvaz	gawO	pa.pa	-	parv1	parv
BvAxiH	parvaz	pUraNe	pa.pa	-	parv1	parv
BvAxiH	parvaz	pUrwO	pa.pa	-	parv1	parv
BvAxiH	marvaz	pUraNe	pa.pa	-	marv1	marv
BvAxiH	marvaz	pUrwO	pa.pa	-	marv1	marv
BvAxiH	carvaz	axane	pa.pa	carv	carv1	carv
BvAxiH	Barvaz	hiMsAyAm	pa.pa	-	Barv1	Barv
BvAxiH	karvaz	xarpe	pa.pa	-	karv1	karv
BvAxiH	Karvaz	xarpe	pa.pa	-	Karv1	Karv
BvAxiH	garvaz	xarpe	pa.pa	-	garv1	garv
BvAxiH	arvaz	hiMsAyAm	pa.pa	-	arv1	arv
BvAxiH	Sarvaz	hiMsAyAm	pa.pa	-	Sarv1	Sarv
BvAxiH	Rarvaz	hiMsAyAm	pa.pa	-	Rarv1	sarv
BvAxiH	iviz	prINane	pa.pa	-	iv1	inv
BvAxiH	iviz	vyApwO	pa.pa	inv	iv1	inv
BvAxiH	piviz	secane	pa.pa	-	piv1	pinv
BvAxiH	piviz	sevane	pa.pa	-	piv1	piv
BvAxiH	piviz	sraMsane	pa.pa	-	piv1	pinv
BvAxiH	miviz	secane	pa.pa	-	miv1	minv
BvAxiH	miviz	sevane	pa.pa	-	miv1	minv
BvAxiH	miviz	sraMsane	pa.pa	-	miv1	minv
BvAxiH	Niviz	secane	pa.pa	-	Niv1	ninv
BvAxiH	Niviz	sevane	pa.pa	-	Niv1	ninv
BvAxiH	Niviz	sraMsane	pa.pa	-	Niv1	ninv
BvAxiH	hiviz	prINane	pa.pa	-	hiv1	hinv
BvAxiH	xiviz	prINane	pa.pa	-	xiv1	xinv
BvAxiH	Xiviz	prINane	pa.pa	-	Xiv1	Xinv
BvAxiH	jiviz	prINane	pa.pa	jinv	jiv1	jinv
BvAxiH	riviz	gawO	pa.pa	-	riv1	riNv
BvAxiH	raviz	gawO	pa.pa	-	rav1	raNv
BvAxiH	Xaviz	gawO	pa.pa	-	Xav1	Xanv
BvAxiH	kqviz	hiMsAyAm	pa.pa	-	kqv1	kqnv
BvAxiH	kqviz	karaNe	pa.pa	-	kqv1	kqnv
BvAxiH	mavaz	banXane	pa.pa	-	mav1	mav
BvAxiH	avaz	Alifgane	pa.pa	-	av1	av
BvAxiH	avaz	avagamane	pa.pa	-	av1	av
BvAxiH	avaz	avApwO	pa.pa	av	av1	av
BvAxiH	avaz	BAge	pa.pa	-	av1	av
BvAxiH	avaz	gawO	pa.pa	av	av1	av
BvAxiH	avaz	hiMsAyAm	pa.pa	-	av1	av
BvAxiH	avaz	icCAyAm	pa.pa	-	av1	av
BvAxiH	avaz	kAnwO	pa.pa	-	av1	av
BvAxiH	avaz	kriyAyAm	pa.pa	-	av1	av
BvAxiH	avaz	praveSane	pa.pa	-	av1	av
BvAxiH	avaz	prIwO	pa.pa	-	av1	av
BvAxiH	avaz	rakRaNe	pa.pa	-	av1	av
BvAxiH	avaz	SravaNe	pa.pa	-	av1	av
BvAxiH	avaz	svAmyarWe	pa.pa	-	av1	av
BvAxiH	avaz	vqxXO	pa.pa	-	av1	av
BvAxiH	avaz	wqpwO	pa.pa	av	av1	av
BvAxiH	avaz	xAne	pa.pa	-	av1	av
BvAxiH	avaz	xIpwO	pa.pa	-	av1	av
BvAxiH	avaz	yAFcAyAm	pa.pa	-	av1	av
BvAxiH	XAvuz	gawO	A.pa	XAv#1	XAv1	XAv
BvAxiH	XAvuz	gawO	pa.pa	XAv#1	XAv1	XAv
BvAxiH	XAvuz	SuxXO	A.pa	XAv#2	XAv1	XAv
BvAxiH	XAvuz	SuxXO	pa.pa	XAv#2	XAv1	XAv
BvAxiH	XukRaz	jIvane	A.pa	XukR	XukR1	XukR
BvAxiH	XukRaz	kleSane	A.pa	XukR	XukR1	XukR
BvAxiH	XukRaz	sanxIpane	A.pa	XukR	XukR1	XukR
