
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI	Apte-dict-form
BvAxiH	axiz	banXane	pa.pa	-	ax1	anx
BvAxiH	ixiz	paramESvarye	pa.pa	inx	ix1	inx
BvAxiH	bixiz	avayave	pa.pa	-	bix1	binx
BvAxiH	gadiz	vaxanEkaxeSe	pa.pa	-	gad2	gaNd
BvAxiH	Nixiz	kuwsAyAm	pa.pa	ninx	Nix1	ninx
BvAxiH	tunaxiz	samqxXO	pa.pa	nanx	nax1	nanx
BvAxiH	caxiz	AhlAxane	pa.pa	canx	cax2	canx
BvAxiH	caxiz	hlAxane	pa.pa	canx	cax2	canx
BvAxiH	caxiz	xIpwO	pa.pa	canx	cax2	canx
BvAxiH	wraxiz	ceRtAyAm	pa.pa	-	wrax1	wranx
BvAxiH	kaxiz	AhvAne	pa.pa	-	kax1	kanx
BvAxiH	kaxiz	roxane	pa.pa	-	kax1	kanx
BvAxiH	kraxiz	AhvAne	pa.pa	kranx	krax2	kranx
BvAxiH	kraxiz	roxane	pa.pa	kranx	krax2	kranx
BvAxiH	klixiz	parixevane	A.pa	-	klix1	klinx
BvAxiH	klixiz	parixevane	pa.pa	-	klix1	klinx
BvAxiH	SunXaz	SuxXO	pa.pa	-	SunX1	SunX
BvAxiH	SIkqz	gawO	A.pa	SIk	SIk1	SIk
BvAxiH	SIkqz	secane	A.pa	SIk	SIk1	SIk
BvAxiH	lokqz	xarSane	A.pa	lok	lok1	lok
BvAxiH	Slokqz	safGAwe	A.pa	-	Slok1	Slok
BvAxiH	xrekqz	Sabxe	A.pa	-	xrek1	xrek
BvAxiH	xrekqz	uwsAhe	A.pa	-	xrek1	xrek
BvAxiH	Xrekqz	Sabxe	A.pa	-	Xrek1	Xrek
BvAxiH	Xrekqz	uwsAhe	A.pa	-	Xrek1	Xrek
BvAxiH	rekqz	SafkAyAm	A.pa	-	rek1	rek
BvAxiH	sekqz	gawO	A.pa	-	sek1	sek
BvAxiH	srekqz	gawO	A.pa	-	srek1	srek
BvAxiH	srakiz	gawO	A.pa	-	srak1	srafk
BvAxiH	Srakiz	gawO	A.pa	-	Srak1	Srafk
BvAxiH	Slakiz	gawO	A.pa	-	Slak1	Slafk
BvAxiH	Sakiz	SafkAyAm	A.pa	Safk	Sak1	Safk
BvAxiH	akiz	lakRaNe	A.pa	-	ak2	afk
