x	y	s	xy	yx	pxy	pyx
16	22	1	0	1	0.0	1.0
16	24	9	2	7	0.222	0.778
16	25	7	2	5	0.286	0.714
16	26	4	1	3	0.25	0.75
16	28	18	10	8	0.556	0.444
16	34	4	0	4	0.0	1.0
16	35	1	0	1	0.0	1.0
16	40	8	2	6	0.25	0.75
16	44	3	0	3	0.0	1.0
16	47	5	2	3	0.4	0.6
16	49	4	4	0	1.0	0.0
16	51	1	1	0	1.0	0.0
16	60	3	3	0	1.0	0.0
16	75	2	0	2	0.0	1.0
16	80	3	2	1	0.667	0.333
16	95	1	1	0	1.0	0.0
18	19	11	5	6	0.455	0.545
18	20	26	14	12	0.538	0.462
18	21	16	8	8	0.5	0.5
18	22	41	4	37	0.098	0.902
18	23	1	0	1	0.0	1.0
18	24	60	8	52	0.133	0.867
18	25	125	57	68	0.456	0.544
18	26	107	74	33	0.692	0.308
18	28	138	90	48	0.652	0.348
18	31	1	0	1	0.0	1.0
18	32	17	14	3	0.824	0.176
18	34	39	17	22	0.436	0.564
18	35	7	7	0	1.0	0.0
18	40	24	11	13	0.458	0.542
18	44	7	3	4	0.429	0.571
18	47	34	17	17	0.5	0.5
18	49	22	15	7	0.682	0.318
18	60	10	7	3	0.7	0.3
18	61	2	0	2	0.0	1.0
18	62	1	1	0	1.0	0.0
18	64	9	6	3	0.667	0.333
18	65	1	0	1	0.0	1.0
18	66	1	1	0	1.0	0.0
18	75	18	2	16	0.111	0.889
18	79	2	1	1	0.5	0.5
18	80	16	9	7	0.562	0.438
18	92	3	2	1	0.667	0.333
18	97	4	2	2	0.5	0.5
18	99	1	1	0	1.0	0.0
19	20	13	2	11	0.154	0.846
19	21	1	0	1	0.0	1.0
19	22	11	4	7	0.364	0.636
19	24	36	3	33	0.083	0.917
19	25	32	9	23	0.281	0.719
19	26	22	14	8	0.636	0.364
19	28	63	36	27	0.571	0.429
19	31	2	0	2	0.0	1.0
19	32	1	1	0	1.0	0.0
19	33	1	0	1	0.0	1.0
19	34	13	5	8	0.385	0.615
19	35	1	0	1	0.0	1.0
19	40	11	5	6	0.455	0.545
19	44	6	0	6	0.0	1.0
19	47	7	3	4	0.429	0.571
19	49	3	1	2	0.333	0.667
19	60	6	0	6	0.0	1.0
19	64	2	0	2	0.0	1.0
19	79	1	1	0	1.0	0.0
19	80	1	1	0	1.0	0.0
19	83	1	1	0	1.0	0.0
19	97	3	3	0	1.0	0.0
20	21	9	3	6	0.333	0.667
20	22	20	7	13	0.35	0.65
20	23	1	1	0	1.0	0.0
20	24	77	19	58	0.247	0.753
