uH	a	22
aH	v	90
iH	m	7
aH	m	63
iH	A	4
aH	w	33
uH	v	31
uH	x	9
aH	B	14
MH	w	1
uH	c	3
aH	j	18
aH	a	58
aH	x	24
iH	B	1
uH	u	2
aH	b	25
aH	X	18
uH	b	8
aH	y	24
aH	n	29
aH	h	4
aH	g	61
uH	m	17
aH	l	3
uH	l	7
uH	A	7
iH	v	3
uH	X	18
aH	G	5
uH	B	20
uH	y	14
AH	j	2
aH	r	26
uH	j	5
aH	c	16
uH	g	4
iH	y	4
uH	G	1
uH	C	1
uH	h	5
uH	n	2
iH	g	4
uH	w	5
iH	j	1
iH	n	1
aH	C	1
iH	x	1
a	A	3704
i	B	145
a	u	2367
a	v	5928
a	j	1735
a	s	4521
a	k	4162
i	m	333
a	a	6432
i	v	501
a	S	2477
i	r	105
a	B	1932
a	w	1410
a	g	1790
i	k	462
a	r	2089
i	p	586
a	x	2911
w	S	51
a	p	4959
i	x	325
w	k	187
a	m	2846
a	h	985
i	j	241
A	w	333
A	s	210
a	P	304
a	n	1626
a	y	1070
i	y	134
A	b	539
A	v	360
U	w	31
i	s	586
A	A	243
a	l	1198
I	p	337
A	k	202
a	I	615
u	S	171
u	x	152
I	s	52
i	n	183
I	k	85
i	S	355
A	a	437
u	s	281
u	k	253
A	m	305
i	h	122
a	G	218
I	S	55
w	i	12
A	c	32
A	y	135
w	P	26
a	X	1021
A	p	351
w	w	39
w	p	272
w	s	131
u	a	198
a	b	782
u	X	43
u	y	53
u	w	120
A	S	176
a	i	734
I	v	85
u	n	165
a	c	1172
i	a	321
u	B	90
i	A	75
k	j	22
k	x	18
a	C	105
w	v	158
i	g	286
u	j	108
u	b	60
k	k	13
u	u	79
i	G	25
q	v	38
i	w	117
w	A	87
w	m	135
a	U	78
u	p	348
i	I	27
w	n	42
A	j	57
q	x	38
w	a	260
w	r	86
w	g	114
u	h	36
w	b	23
A	x	167
w	x	49
u	m	225
a	O	47
a	q	662
k	v	40
A	r	335
w	h	8
u	l	67
k	i	5
A	G	29
i	c	65
i	P	21
t	p	5
t	v	20
I	c	11
a	E	35
k	p	25
u	A	48
a	o	160
i	l	87
u	r	107
i	b	82
w	B	76
I	w	83
A	o	37
u	K	1
U	p	32
I	m	292
u	v	316
i	u	50
w	X	16
u	P	11
i	X	65
u	G	17
A	u	136
a	e	89
A	h	45
w	I	5
t	m	67
a	d	3
I	x	39
t	x	5
U	m	13
u	g	63
a	R	38
i	i	17
A	q	164
S	y	1
k	m	30
q	B	18
q	y	10
q	g	36
q	A	4
u	i	20
a	K	145
A	P	20
k	s	30
t	k	19
q	m	25
q	j	9
I	b	17
A	X	83
A	n	76
w	y	26
A	B	93
w	c	20
k	y	13
k	b	5
A	g	106
w	u	42
U	B	5
I	y	16
x	B	7
A	O	3
t	r	4
k	c	6
I	J	1
w	j	32
q	p	37
w	q	4
I	B	36
q	s	26
k	n	8
i	K	13
I	n	31
u	U	9
k	w	3
A	i	166
w	l	26
I	P	20
q	k	14
x	v	5
x	g	6
k	u	6
k	r	2
A	l	24
A	C	11
I	h	8
x	a	12
u	c	21
q	l	14
k	B	18
U	S	10
U	P	3
t	e	1
i	R	11
t	i	5
A	U	4
A	K	9
I	g	18
q	r	5
t	C	2
I	j	12
u	o	3
x	u	2
k	l	3
i	o	5
t	l	1
i	t	1
a	t	5
I	K	3
U	v	4
t	a	24
i	e	8
q	S	10
I	R	1
t	B	11
w	E	1
I	r	30
i	C	4
q	n	5
w	C	11
a	J	2
x	x	3
q	w	19
k	A	9
U	k	1
t	X	1
t	g	16
q	h	4
i	q	7
w	e	2
U	c	5
I	X	31
k	C	3
k	h	2
U	l	6
t	y	1
U	r	13
t	s	3
U	b	3
t	b	1
A	E	3
u	O	2
A	e	7
I	G	3
t	q	1
x	A	3
u	C	5
q	X	1
u	I	3
q	a	5
t	w	3
t	j	6
I	l	4
k	O	1
w	R	4
k	a	11
A	I	22
q	b	6
U	s	4
O	v	2
U	X	12
u	R	1
i	U	3
x	b	1
k	I	6
I	a	11
U	A	1
I	A	4
t	G	1
t	c	4
o	j	3
o	r	11
t	A	5
m	k	2
U	U	1
m	p	11
O	i	1
S	S	2
I	u	3
o	m	32
i	E	1
U	a	2
f	m	13
o	v	10
o	w	3
U	x	14
o	l	7
o	k	27
p	X	1
O	q	11
t	U	1
f	g	1
p	x	1
w	G	5
m	a	5
U	n	13
U	K	1
o	p	11
m	B	16
w	U	1
I	i	2
U	g	3
k	g	3
m	A	3
o	s	1
w	O	1
O	r	1
I	d	1
x	r	4
p	l	1
o	S	1
m	m	2
f	n	1
n	a	1
I	U	1
A	R	1
o	g	1
q	e	1
p	j	1
