Sr.No.	HEADWORD	GENDER	AMAR	ABCH	ACPH	ACSJ	ACVH
1	अर्हन्	पुं	x	1	x	x	x
1	जिन	पुं	x	1	x	x	x
1	पारगत	पुं	x	1	x	x	x
1	त्रिकालवित्	पुं	x	1	x	x	x
1	क्षीणाष्टकर्मन्	पुं	x	1	x	x	x
1	परमेष्ठिन्	पुं	x	1	x	x	x
1	अधीश्वर	पुं	x	1	x	x	x
1	शम्भु	पुं	x	1	x	x	x
1	स्वयम्भू	पुं	x	1	x	x	x
1	भगवत्	पुं	x	1	x	x	x
1	जगत्प्रभु	पुं	x	1	x	x	x
1	तीर्थङ्कर	पुं	x	1	x	x	x
1	तीर्थकर	पुं	x	1	x	x	x
1	जिनेश्वर	पुं	x	1	x	x	x
1	स्याद्वादिन्	पुं	x	1	x	x	x
1	अभयद	पुं	x	1	x	x	x
1	सार्व	पुं	x	1	x	x	x
1	सर्वज्ञ	पुं	x	1	x	x	x
1	सर्वदर्शिन्	पुं	x	1	x	x	x
1	केवलिन्	पुं	x	1	x	x	x
1	देवाधिदेव	पुं	x	1	x	x	x
1	बोधिद	पुं	x	1	x	x	x
1	पुरुषोत्तम	पुं	x	1	x	x	x
1	वीतराग	पुं	x	1	x	x	x
1	आप्त	पुं	x	1	x	x	x
1	सर्वीय	पुं	x	x	x	1	x
1	अनेकान्तवादिन्	पुं	x	x	x	x	1
1	सार्वीय	पुं	x	x	x	x	1
2	ऋषभ	पुं	x	2	x	x	x
2	युगादिजिन	पुं	x	x	x	2	x
3	अजित	पुं	x	3	x	x	x
4	शम्भव	पुं	x	4	x	x	x
4	सम्भव	पुं	x	x	x	4	4
5	अभिनन्दन	पुं	x	5	x	x	x
6	सुमति	पुं	x	6	x	x	x
7	पद्मप्रभ	पुं	x	7	x	x	x
8	सुपार्श्व	पुं	x	8	x	x	x
9	चन्द्रप्रभ	पुं	x	9	x	x	x
10	सुविधि	पुं	x	10	x	x	x
11	शीतल	पुं	x	11	x	x	x
12	श्रेयांस	पुं	x	12	x	x	x
13	वासुपूज्य	पुं	x	13	x	x	x
14	विमल	पुं	x	14	x	x	x
15	अनन्ततीर्थकृत्	पुं	x	15	x	x	x
16	धर्म	पुं	x	16	x	x	x
17	शान्ति	पुं	x	17	x	x	x
18	कुन्थु	पुं	x	18	x	x	x
19	अर	पुं	x	19	x	x	x
20	मल्लि	पुं	x	20	x	x	x
21	मुनिसुव्रत	पुं	x	21	x	x	x
21	मुनि	पुं	x	x	x	21	x
22	नमि	पुं	x	22	x	x	x
23	नेमि	पुं	x	23	x	x	x
23	नेमिन्	पुं	x	x	x	23	23
24	पार्श्व	पुं	x	24	x	x	x
24	पार्श्वनाथ	पुं	x	x	x	x	24
25	वीर	पुं	x	25	x	x	x
26	ऋषभ	पुं	x	26	x	x	x
26	वृषभ	पुं	x	26	x	x	x
27	श्रेयस्	पुं	x	27	x	x	x
27	श्रेयांस	पुं	x	27	x	x	x
28	अनन्तजित्	पुं	x	28	x	x	x
28	अनन्त	पुं	x	28	x	x	x
29	सुविधि	पुं	x	29	x	x	x
29	पुष्पदन्त	पुं	x	29	x	x	x
30	मुनिसुव्रत	पुं	x	30	x	x	x
30	सुव्रत	पुं	x	30	x	x	x
30	मुनि	पुं	x	x	x	x	30
31	अरिष्टनेमि	पुं	x	31	x	x	x
31	नेमि	पुं	x	31	x	x	x
32	वीर	पुं	x	32	x	x	x
32	चरमतीर्थकृत्	पुं	x	32	x	x	x
32	महावीर	पुं	x	32	x	x	x
32	वर्धमान	पुं	x	32	x	x	x
32	देवार्य	पुं	x	32	x	x	x
32	ज्ञातनन्दन	पुं	x	32	x	x	x
33	गण	पुं	x	33	x	x	x
33	ऋषिसङ्घ	पुं	x	33	x	x	x
34	गणाधिप	पुं	x	34	x	x	x
35	इन्द्रभूति	पुं	x	35	x	x	x
36	अग्निभूति	पुं	x	36	x	x	x
37	वायुभूति	पुं	x	37	x	x	x
38	गोतम	पुं	x	38	x	x	x
39	व्यक्त	पुं	x	39	x	x	x
40	सुधर्म	पुं	x	40	x	x	x
41	मण्डित	पुं	x	41	x	x	x
41	मण्डितपुत्र	पुं	x	x	x	41	41
42	मौर्यपुत्र	पुं	x	42	x	x	x
43	अकम्पित	पुं	x	43	x	x	x
44	अचलभ्रातृ	पुं	x	44	x	x	x
45	मेतार्य	पुं	x	45	x	x	x
46	प्रभास	पुं	x	46	x	x	x
47	केवलिन्	पुं	x	47	x	x	x
48	जम्बूस्वामिन्	पुं	x	48	x	x	x
49	श्रुतकेवलिन्	पुं	x	49	x	x	x
50	प्रभवप्रभु	पुं	x	50	x	x	x
51	शय्यम्भव	पुं	x	51	x	x	x
52	यशोभद्र	पुं	x	52	x	x	x
53	सम्भूतविजय	पुं	x	53	x	x	x
54	भद्रबाहु	पुं	x	54	x	x	x
55	स्थूलभद्र	पुं	x	55	x	x	x
56	महागिरि	पुं	x	56	x	x	x
57	सुहस्तिन्	पुं	x	57	x	x	x
58	वज्र	पुं	x	58	x	x	x
59	दशपूर्विणः	पुंब	x	59	x	x	x
60	इक्ष्वाकु	पुं	x	60	x	x	x
61	हरि	पुं	x	61	x	x	x
62	अर्हत्पितृ	पुं	x	62	x	x	x
63	नाभि	पुं	x	63	x	x	x
64	जितशत्रु	पुं	x	64	x	x	x
65	जितारि	पुं	x	65	x	x	x
66	संवर	पुं	x	66	x	x	x
67	मेघ	पुं	x	67	x	x	x
68	धर	पुं	x	68	x	x	x
69	प्रतिष्ठ	पुं	x	69	x	x	x
70	महासेननरेश्वर	पुं	x	70	x	x	x
71	सुग्रीव	पुं	x	71	x	x	x
72	दृढरथ	पुं	x	72	x	x	x
73	विष्णु	पुं	x	73	x	x	x
74	वसुपुज्यराज्	पुं	x	74	x	x	x
75	कृतवर्मन्	पुं	x	75	x	x	x
76	सिंहसेन	पुं	x	76	x	x	x
77	भानु	पुं	x	77	x	x	x
78	विश्वसेनराज्	पुं	x	78	x	x	x
79	सूर	पुं	x	79	x	x	x
80	सुदर्शन	पुं	x	80	x	x	x
81	कुम्भ	पुं	x	81	x	x	x
82	सुमित्र	पुं	x	82	x	x	x
83	विजय	पुं	x	83	x	x	x
84	समुद्रविजय	पुं	x	84	x	x	x
85	अश्वसेन	पुं	x	85	x	x	x
86	सिद्धार्थ	पुं	x	86	x	x	x
87	अर्हन्मातृ	स्त्री	x	87	x	x	x
88	मरुदेवा	स्त्री	x	88	x	x	x
88	मरुदेवी	स्त्री	x	x	x	88	88
89	विजया	स्त्री	x	89	x	x	x
90	सेना	स्त्री	x	90	x	x	x
91	सिद्धार्था	स्त्री	x	91	x	x	x
92	मङ्गला	स्त्री	x	92	x	x	x
93	सुसीमा	स्त्री	x	93	x	x	x
94	पृथ्वी	स्त्री	x	94	x	x	x
95	लक्ष्मणा	स्त्री	x	95	x	x	x
96	रामा	स्त्री	x	96	x	x	x
97	नन्दा	स्त्री	x	97	x	x	x
98	विष्णु	स्त्री	x	98	x	x	x
99	जया	स्त्री	x	99	x	x	x
100	श्यामा	स्त्री	x	100	x	x	x
101	सुयशा	स्त्री	x	101	x	x	x
102	सुव्रता	स्त्री	x	102	x	x	x
103	अचिरा	स्त्री	x	103	x	x	x
104	श्री	स्त्री	x	104	x	x	x
105	देवी	स्त्री	x	105	x	x	x
106	प्रभावती	स्त्री	x	106	x	x	x
107	पद्मा	स्त्री	x	107	x	x	x
108	वप्रा	स्त्री	x	108	x	x	x
109	शिवा	स्त्री	x	109	x	x	x
110	वामा	स्त्री	x	110	x	x	x
111	त्रिशला	स्त्री	x	111	x	x	x
112	अर्हदुपासक	पुं	x	112	x	x	x
113	गोमुख	पुं	x	113	x	x	x
114	महायक्ष	पुं	x	114	x	x	x
115	त्रिमुख	पुं	x	115	x	x	x
116	यक्षनायक	पुं	x	116	x	x	x
117	तुम्बुरु	पुं	x	117	x	x	x
118	कुसुम	पुं	x	118	x	x	x
119	मातङ्ग	पुं	x	119	x	x	x
120	विजय	पुं	x	120	x	x	x
121	अजित	पुं	x	121	x	x	x
122	ब्रह्मन्	पुं	x	122	x	x	x
123	यक्षेश्	पुं	x	123	x	x	x
124	कुमार	पुं	x	124	x	x	x
125	षण्मुख	पुं	x	125	x	x	x
126	पाताल	पुं	x	126	x	x	x
127	किन्नर	पुं	x	127	x	x	x
128	गरुड	पुं	x	128	x	x	x
129	गन्धर्व	पुं	x	129	x	x	x
130	यक्षेश्	पुं	x	130	x	x	x
131	कुबेर	पुं	x	131	x	x	x
132	वरुण	पुं	x	132	x	x	x
133	भृकुटि	पुं	x	133	x	x	x
134	गोमेध	पुं	x	134	x	x	x
135	पार्श्व	पुं	x	135	x	x	x
136	मातङ्ग	पुं	x	136	x	x	x
137	शासनदेवता	स्त्री	x	137	x	x	x
138	चक्रेश्वरी	स्त्री	x	138	x	x	x
138	अप्रतिचक्रा	स्त्री	x	x	x	138	138
139	अजितबला	स्त्री	x	139	x	x	x
139	अजिता	स्त्री	x	x	x	139	139
140	दुरितारि	स्त्री	x	140	x	x	x
141	कालिका	स्त्री	x	141	x	x	x
142	महाकाली	स्त्री	x	142	x	x	x
142	काञ्चनवर्णा	स्त्री	x	x	x	x	142
143	श्यामा	स्त्री	x	143	x	x	x
143	अच्युतदेवी	स्त्री	x	x	x	143	143
144	शान्ता	स्त्री	x	144	x	x	x
145	भृकुटि	स्त्री	x	145	x	x	x
146	सुतारका	स्त्री	x	146	x	x	x
146	सुतारा	स्त्री	x	x	x	146	146
147	अशोका	स्त्री	x	147	x	x	x
148	मानवी	स्त्री	x	148	x	x	x
149	चण्डा	स्त्री	x	149	x	x	x
150	विदिता	स्त्री	x	150	x	x	x
151	अङ्कुशा	स्त्री	x	151	x	x	x
152	कन्दर्पा	स्त्री	x	152	x	x	x
153	निर्वाणी	स्त्री	x	153	x	x	x
154	बला	स्त्री	x	154	x	x	x
155	धारिणी	स्त्री	x	155	x	x	x
156	धरणप्रिया	स्त्री	x	156	x	x	x
157	नरदत्ता	स्त्री	x	157	x	x	x
158	गान्धारी	स्त्री	x	158	x	x	x
159	अम्बिका	स्त्री	x	159	x	x	x
159	कुष्माण्डी	स्त्री	x	x	x	x	159
160	पद्मावती	स्त्री	x	160	x	x	x
161	सिद्धायिका	स्त्री	x	161	x	x	x
162	तीर्थङ्करचिह्न	पुं	x	162	x	x	x
163	वृष	पुं	x	163	x	x	x
164	गज	पुं	x	164	x	x	x
165	अश्व	पुं	x	165	x	x	x
166	प्लवग	पुं	x	166	x	x	x
167	क्रौञ्च	पुं	x	167	x	x	x
168	अब्ज	क्ली	x	168	x	x	x
169	स्वस्तिक	पुं	x	169	x	x	x
170	शशिन्	पुं	x	170	x	x	x
171	मकर	पुं	x	171	x	x	x
172	श्रीवत्स	पुं	x	172	x	x	x
173	खड्गिन्	पुं	x	173	x	x	x
174	महिष	पुं	x	174	x	x	x
175	शूकर	पुं	x	175	x	x	x
176	श्येन	पुं	x	176	x	x	x
177	वज्र	क्ली	x	177	x	x	x
178	मृग	पुं	x	178	x	x	x
179	छाग	पुं	x	179	x	x	x
180	नन्द्यावर्त	पुं	x	180	x	x	x
181	घट	पुं	x	181	x	x	x
182	कूर्म	पुं	x	182	x	x	x
183	नीलोत्पल	क्ली	x	183	x	x	x
184	शङ्ख	पुं	x	184	x	x	x
185	फणिन्	पुं	x	185	x	x	x
186	सिंह	पुं	x	186	x	x	x
187	अर्हद्वर्ण	पुं	x	187	x	x	x
188	अतीतावसर्पिण्यर्हत्	पुं	x	188	x	x	x
189	केवलज्ञानिन्	पुं	x	189	x	x	x
190	निर्वाणिन्	पुं	x	190	x	x	x
191	सागर	पुं	x	191	x	x	x
192	महायशस्	पुं	x	192	x	x	x
193	विमल	पुं	x	193	x	x	x
194	सर्वानुभूति	पुं	x	194	x	x	x
195	श्रीधर	पुं	x	195	x	x	x
196	दत्ततीर्थकृत्	पुं	x	196	x	x	x
197	दामोदर	पुं	x	197	x	x	x
198	सुतेजस्	पुं	x	198	x	x	x
199	स्वामिन्	पुं	x	199	x	x	x
200	मुनिसुव्रत	पुं	x	200	x	x	x
201	सुमति	पुं	x	201	x	x	x
202	शिवगति	पुं	x	202	x	x	x
203	अस्ताग	पुं	x	203	x	x	x
204	निमीश्वर	पुं	x	204	x	x	x
205	अनिल	पुं	x	205	x	x	x
206	यशोधर	पुं	x	206	x	x	x
207	कृतार्घ	पुं	x	207	x	x	x
208	जिनेश्वर	पुं	x	208	x	x	x
209	शुद्धमति	पुं	x	209	x	x	x
210	शिवकर	पुं	x	210	x	x	x
211	स्यन्दन	पुं	x	211	x	x	x
212	सम्प्रति	पुं	x	212	x	x	x
213	भाविन्यवसर्पिण्यर्हत्	पुं	x	213	x	x	x
214	पद्मनाभ	पुं	x	214	x	x	x
215	शूरदेव	पुं	x	215	x	x	x
216	सुपार्श्वक	पुं	x	216	x	x	x
217	स्वयम्प्रभ	पुं	x	217	x	x	x
218	सर्वानुभूति	पुं	x	218	x	x	x
219	देवश्रुत	पुं	x	219	x	x	x
220	उदय	पुं	x	220	x	x	x
221	पेढाल	पुं	x	221	x	x	x
222	पोट्टिल	पुं	x	222	x	x	x
223	शतकीर्ति	पुं	x	223	x	x	x
224	सुव्रत	पुं	x	224	x	x	x
225	अमम	पुं	x	225	x	x	x
226	निष्कषाय	पुं	x	226	x	x	x
227	निष्पुलाक	पुं	x	227	x	x	x
228	निर्मम	पुं	x	228	x	x	x
229	चित्रगुप्त	पुं	x	229	x	x	x
230	समाधि	पुं	x	230	x	x	x
231	संवर	पुं	x	231	x	x	x
232	यशोधर	पुं	x	232	x	x	x
233	विजय	पुं	x	233	x	x	x
234	मल्ल	पुं	x	234	x	x	x
235	देव	पुं	x	235	x	x	x
236	अनन्तवीर्य	पुं	x	236	x	x	x
237	भद्रकृत्	पुं	x	237	x	x	x
237	तीर्थकृत्	पुं	x	x	x	237	x
237	भद्र	पुं	x	x	x	237	237
238	अर्हद्देहगुण	पुं	x	238	x	x	x
239	अतिशय	पुं	x	239	x	x	x
240	सहोत्थातिशय	पुं	x	240	x	x	x
241	कर्मघातजातिशय	पुं	x	241	x	x	x
242	दैवकृतातिशय	पुं	x	242	x	x	x
243	वचनातिशय	पुं	x	243	x	x	x
244	संस्कारवत्त्व	क्ली	x	244	x	x	x
245	औदात्त्य	क्ली	x	245	x	x	x
246	मेघगम्भीरघोषत्व	क्ली	x	246	x	x	x
247	प्रतिनादविधायिता	स्त्री	x	247	x	x	x
248	उपचारपरीतता	स्त्री	x	248	x	x	x
249	दक्षिणत्व	क्ली	x	249	x	x	x
250	उपनीतरागत्व	क्ली	x	250	x	x	x
251	महार्थता	स्त्री	x	251	x	x	x
252	अव्याहतत्व	क्ली	x	252	x	x	x
253	शिष्टत्व	क्ली	x	253	x	x	x
254	संशयासम्भव	पुं	x	254	x	x	x
255	निराकृतान्योत्तरत्व	क्ली	x	255	x	x	x
256	हृदयङ्गमत्वा	स्त्री	x	256	x	x	x
257	मिथःसाकाङ्क्षता	स्त्री	x	257	x	x	x
258	प्रस्तावौचित्य	क्ली	x	258	x	x	x
259	तत्त्वनिष्ठता	स्त्री	x	259	x	x	x
260	अप्रकीर्णप्रसृतत्व	क्ली	x	260	x	x	x
261	अस्वश्लाघान्यनिन्दता	स्त्री	x	261	x	x	x
262	आभिजात्य	क्ली	x	262	x	x	x
263	अतिस्निग्धमधुरत्व	क्ली	x	263	x	x	x
264	प्रशस्यता	स्त्री	x	264	x	x	x
265	अमर्मवेधिता	स्त्री	x	265	x	x	x
266	औदार्य	क्ली	x	266	x	x	x
267	धर्मार्थप्रतिबद्धता	स्त्री	x	267	x	x	x
268	कारकाद्यविपर्यास	पुं	x	268	x	x	x
269	विभ्रमादिवियुक्तता	स्त्री	x	269	x	x	x
270	चित्रकृत्त्व	क्ली	x	270	x	x	x
271	अद्भुतत्व	क्ली	x	271	x	x	x
272	अनतिविलम्बिता	स्त्री	x	272	x	x	x
273	अनेकजातिवैचित्र्य	क्ली	x	273	x	x	x
274	आरोपितविशेषता	स्त्री	x	274	x	x	x
275	सत्त्वप्रधानता	स्त्री	x	275	x	x	x
276	वर्णपदवाक्यविविक्तता	स्त्री	x	276	x	x	x
277	अव्युच्छित्ति	स्त्री	x	277	x	x	x
278	अखेदित्व	क्ली	x	278	x	x	x
279	दोष	पुं	x	279	x	x	x
280	दानान्तराय	पुं	x	280	x	x	x
281	लाभान्तराय	पुं	x	281	x	x	x
282	वीर्यान्तराय	पुं	x	282	x	x	x
283	भोगान्तराय	पुं	x	283	x	x	x
284	उपभोगान्तराय	पुं	x	284	x	x	x
285	हास	पुं	x	285	x	x	x
286	रति	स्त्री	x	286	x	x	x
287	अरति	स्त्री	x	287	x	x	x
288	भीति	स्त्री	x	288	x	x	x
289	जुगुप्सा	स्त्री	x	289	x	x	x
290	शोक	पुं	x	290	x	x	x
291	काम	पुं	x	291	x	x	x
292	मिथ्यात्व	क्ली	x	292	x	x	x
293	अज्ञान	क्ली	x	293	x	x	x
294	निद्रा	स्त्री	x	294	x	x	x
295	अविरति	स्त्री	x	295	x	x	x
296	राग	पुं	x	296	x	x	x
297	द्वेष	पुं	x	297	x	x	x
298	मुमुक्षु	पुं	x	299	x	x	x
298	श्रमण	पुं	x	299	x	x	x
298	यति	पुं	x	299	x	x	x
298	वाचंयम	पुं	x	299	x	x	x
298	व्रतिन्	पुं	x	299	x	x	x
298	साधु	पुं	x	299	x	x	x
298	अनगार	पुं	x	299	x	x	x
298	ऋषि	पुं	x	299	x	x	x
298	मुनि	पुं	x	299	x	x	x
298	निर्ग्रन्थ	पुं	x	299	x	x	x
298	भिक्षु	पुं	x	299	x	x	x
298	श्रवण	पुं	x	x	x	299	299
299	मुमुक्षुस्व	क्ली	x	300	x	x	x
300	तपस्	क्ली	x	301	x	x	x
301	योग	पुं	x	302	x	x	x
302	शम	पुं	x	303	x	x	x
303	मोक्षोपाय	पुं	x	304	x	x	x
304	योग	पुं	x	305	x	x	x
305	ज्ञान	क्ली	x	306	x	x	x
306	श्रद्धान	क्ली	x	307	x	x	x
307	चरण	क्ली	x	308	x	x	x
308	अभाषण	क्ली	x	309	x	x	x
308	मौन	क्ली	x	309	x	x	x
309	गुरु	पुं	x	310	x	x	x
309	धर्मोपदेशक	पुं	x	310	x	x	x
310	अनुयोगकृत्	पुं	x	311	x	x	x
310	आचार्य	पुं	x	311	x	x	x
310	मन्त्रव्याख्याकृत्	पुं	x	x	x	x	311
311	उपाध्याय	पुं	x	312	x	x	x
311	पाठक	पुं	x	312	x	x	x
312	अनूचान	पुं	x	313	x	x	x
312	गणि	पुं	x	313	x	x	x
313	शिष्य	पुं	x	314	x	x	x
313	विनेय	पुं	x	314	x	x	x
313	अन्तेवासिन्	पुं	x	314	x	x	x
313	अन्तिषद्	पुं	x	x	x	314	x
314	शैक्ष	पुं	x	315	x	x	x
314	प्राथमकल्पिक	पुं	x	315	x	x	x
315	विवेक	पुं	x	317	x	x	x
315	पृथगात्मता	स्त्री	x	317	x	x	x
316	पारम्पर्य	पुं	x	319	x	x	x
316	आम्नाय	पुं	x	319	x	x	x
316	सम्प्रदाय	पुं	x	319	x	x	x
316	गुरुक्रम	पुं	x	319	x	x	x
317	व्रतादान	क्ली	x	320	x	x	x
317	परिव्रज्या	स्त्री	x	320	x	x	x
317	तपस्या	स्त्री	x	320	x	x	x
317	नियमस्थिति	स्त्री	x	320	x	x	x
317	प्रव्रजन	क्ली	x	x	x	320	x
317	प्रव्रज्या	स्त्री	x	x	x	x	320
318	यम	पुं	x	321	x	x	x
319	अहिंसा	स्त्री	x	322	x	x	x
320	सूनृत	क्ली	x	323	x	x	x
321	अस्तेय	क्ली	x	324	x	x	x
322	ब्रह्मन्	पुं	x	325	x	x	x
323	अकिञ्चनता	स्त्री	x	326	x	x	x
324	नियम	पुं	x	327	x	x	x
325	शौच	पुं	x	328	x	x	x
326	सन्तोष	पुं	x	329	x	x	x
327	स्वाध्याय	पुं	x	330	x	x	x
328	तपस्	क्ली	x	331	x	x	x
329	देवताप्रणिधान	क्ली	x	332	x	x	x
330	करण	क्ली	x	333	x	x	x
330	आसन	क्ली	x	333	x	x	x
331	प्राणायाम	पुं	x	334	x	x	x
331	प्राणयाम	पुं	x	334	x	x	x
332	प्रत्याहार	पुं	x	335	x	x	x
333	धारणा	स्त्री	x	336	x	x	x
334	ध्यान	क्ली	x	337	x	x	x
335	समाधि	स्त्री	x	338	x	x	x
336	अष्टाङ्गयोग	पुं	x	339	x	x	x
337	श्वःश्रेयस	क्ली	x	340	x	x	x
337	शुभ	क्ली	x	340	x	x	x
337	शिव	क्ली	x	340	x	x	x
337	कल्याण	क्ली	x	340	x	x	x
337	श्वोवसीयस्	क्ली	x	340	x	x	x
337	श्रेयस्	क्ली	x	340	x	x	x
337	क्षेम	पुंक्ली	x	340	x	x	x
337	भावुक	क्ली	x	340	x	x	x
337	भविक	क्ली	x	340	x	x	x
337	कुशल	क्ली	x	340	x	x	x
337	मङ्गल	क्ली	x	340	x	x	x
337	भद्र	क्ली	x	340	x	x	x
337	मद्र	क्ली	x	340	x	x	x
337	शस्त	क्ली	x	340	x	x	x
337	भव्य	क्ली	x	x	340	x	x
337	काम्य	क्ली	x	x	340	x	x
337	सुकृत	क्ली	x	x	340	x	x
337	सूनृत	क्ली	x	x	340	x	x
337	भन्द्र	क्ली	x	x	x	340	340
337	प्रशस्त	क्ली	x	x	x	340	340
338	स्वर्	अ	1	x	x	x	341
338	स्वर्ग	पुं	1	341	x	x	x
338	नाक	पुं	1	x	x	x	x
338	त्रिदिव	पुं	1	x	x	x	x
338	त्रिदशालय	पुं	1	x	x	x	x
338	सुरलोक	पुं	1	x	x	x	x
338	द्यो	स्त्री	1	341	x	x	x
338	दिव्	स्त्री	1	341	x	x	x
338	त्रिविष्टप	क्ली	1	341	x	x	x
338	भुविस्	स्त्री	x	341	x	x	x
338	तविष	पुं	x	341	x	x	x
338	ताविष	पुं	x	341	x	x	x
338	नाक	पुंक्ली	x	341	x	x	x
338	गो	पुंस्त्री	x	341	x	x	x
338	त्रिदिव	पुंक्ली	x	341	x	x	x
338	ऊर्ध्वलोक	पुं	x	341	x	x	x
338	सुरालय	पुं	x	341	x	x	x
338	फलोदय	पुं	x	x	341	x	x
338	मेरुपृष्ठ	क्ली	x	x	341	x	x
338	वासवावास	पुं	x	x	341	x	x
338	सैरिक	पुं	x	x	341	x	x
338	दिदिवि	पुं	x	x	341	x	x
338	दीदिवि	पुं	x	x	341	x	x
338	द्यु	पुं	x	x	341	x	x
338	दिव	क्ली	x	x	341	x	x
338	त्रिपिष्टप	क्ली	x	x	x	x	341
338	त्रिदशावास	पुं	x	x	x	x	341
338	देवलोक	पुं	x	x	x	x	341
339	अमर	पुं	2	342	x	x	x
339	निर्जरस्	पुं	2	342	x	x	x
339	देव	पुं	2	342	x	x	x
339	त्रिदश	पुं	2	342	x	x	x
339	विबुध	पुं	2	342	x	x	x
339	सुर	पुं	2	342	342	x	x
339	सुपर्वन्	पुं	2	342	x	x	x
339	सुमनस्	पुं	2	342	x	x	x
339	त्रिदिवेश	पुं	2	x	x	x	x
339	दिवौकस्	पुं	2	x	x	x	x
339	आदितेय	पुं	2	342	x	x	x
339	दिविषद्	पुं	2	x	x	x	x
339	लेख	पुं	2	342	x	x	x
339	अदितिनन्दन	पुं	2	x	x	x	x
339	आदित्य	पुं	2	x	x	x	342
339	ऋभव	पुं	2	x	x	x	x
339	अस्वप्न	पुं	2	342	x	x	x
339	अमर्त्य	पुं	2	342	x	x	x
339	अमृतान्धस्	पुं	2	x	x	x	342
339	बर्हिर्मुख	पुं	2	342	x	x	x
339	क्रतुभुज्	पुं	2	342	x	x	x
339	गीर्वाण	पुं	2	342	x	x	x
339	दानवारि	पुं	2	342	x	x	x
339	वृन्दारक	पुं	2	342	x	x	x
339	दैवत	पुंक्ली	2	342	x	x	x
339	देवता	स्त्री	2	342	x	x	x
339	ऋभु	पुं	x	342	x	x	x
339	अनिमिष	पुं	x	342	x	x	x
339	नाकिन्	पुं	x	342	x	x	x
339	स्वाहाभुज्	पुं	x	342	x	x	x
339	स्वधाभुज्	पुं	x	342	x	x	x
339	मरुत्	पुं	x	342	x	x	x
339	निलिम्प	पुं	x	x	342	x	x
339	कामरूप	पुं	x	x	342	x	x
339	साध्य	पुं	x	x	342	x	x
339	शोभ	पुं	x	x	342	x	x
339	चिरायुस्	पुं	x	x	342	x	x
339	पूजित	पुं	x	x	342	x	x
339	मर्त्यमहित	पुं	x	x	342	x	x
339	सुबाल	पुं	x	x	342	x	x
339	वायुभ	पुं	x	x	342	x	x
339	द्युसद्मन्	पुं	x	x	x	x	342
339	स्वाहाशन	पुं	x	x	x	x	342
339	स्वधाशन	पुं	x	x	x	x	342
339	यज्ञासन	पुं	x	x	x	x	342
339	अदितिज	पुं	x	x	x	x	342
339	विमानयान	पुं	x	x	x	x	342
339	वैमानिक	पुं	x	x	x	x	342
339	विमानिक	पुं	x	x	x	x	342
339	स्वर्गिन्	पुं	x	x	x	x	342
339	त्रिदिवाधीश	पुं	x	x	x	x	342
339	दनुजद्विष्	पुं	x	x	x	x	342
340	आदित्याः	पुंब	3	x	x	x	x
340	अर्काः	पुंब	x	x	5002	x	x
341	विश्वे	क्लीब	4	x	x	x	x
341	विश्वेदेवाः	पुंब	x	x	5004	x	x
342	वसवः	पुंब	5	x	5003	x	x
343	तुषिताः	पुंब	6	x	5005	x	x
344	आभास्वराः	पुंब	7	x	5006	x	x
345	अनिलाः	पुंब	8	x	x	x	x
345	वायवः	पुंब	x	x	5009	x	x
346	महाराजिकाः	पुंब	9	x	x	x	x
346	माहाराजिकाः	पुंब	x	x	5007	x	x
347	साध्याः	पुंब	10	x	5143	x	x
348	रुद्राः	पुंब	11	x	5008	x	x
349	गणदेवताः	स्त्रीब	12	x	5001	x	x
350	वैकुण्ठाः	पुंब	x	x	5010	x	x
351	सुशर्माणः	पुंब	x	x	5011	x	x
352	भवनाधीश	पुं	x	345	x	x	x
353	असुरकुमार	पुं	x	346	x	x	x
354	नागकुमार	पुं	x	347	x	x	x
355	तडित्कुमार	पुं	x	348	x	x	x
356	सुपर्णककुमार	पुं	x	349	x	x	x
357	वह्निकुमार	पुं	x	350	x	x	x
358	अनिलकुमार	पुं	x	351	x	x	x
359	स्तनितकुमार	पुं	x	352	x	x	x
360	उदधिकुमार	पुं	x	353	x	x	x
361	द्वीपकुमार	पुं	x	354	x	x	x
362	दिक्कुमार	पुं	x	355	x	x	x
363	वैमानिक	पुं	x	371	x	x	x
364	कल्पभव	पुं	x	372	x	x	x
365	सौधर्मज	पुं	x	373	x	x	x
366	ईशानज	पुं	x	374	x	x	x
367	सनत्कुमारज	पुं	x	375	x	x	x
368	माहेन्द्रज	पुं	x	376	x	x	x
369	ब्रह्मज	पुं	x	377	x	x	x
370	लान्तकज	पुं	x	378	x	x	x
371	शुक्रज	पुं	x	379	x	x	x
372	सहस्रारज	पुं	x	380	x	x	x
373	आनतज	पुं	x	381	x	x	x
374	प्राणतज	पुं	x	382	x	x	x
375	आरणज	पुं	x	383	x	x	x
376	अच्युतज	पुं	x	384	x	x	x
377	कल्पातीत	पुं	x	385	x	x	x
378	ग्रैवेयक	पुं	x	386	x	x	x
379	अनुत्तर	पुं	x	387	x	x	x
380	व्यन्तर	पुं	x	356	x	x	x
380	वानमन्तर	पुं	x	x	x	356	356
381	विद्याधर	पुं	13	x	x	x	x
382	अप्सरसः	स्त्रीब	14	x	x	x	x
383	यक्ष	पुं	15	359	x	x	x
384	रक्षस्	पुं	16	x	x	x	x
384	राक्षस	पुं	x	360	x	x	x
385	गन्धर्व	पुं	17	364	x	x	x
386	ज्योतिष्क	पुं	x	365	x	x	x
387	चन्द्र	पुं	x	366	x	x	x
